DEBUG: 3.143109 ; likelihood: -0.095607
DEBUG: 10.923040 ; likelihood: 61.824448
DEBUG: 2.330587 ; likelihood: 61.445526
DEBUG: 4.043982 ; likelihood: 61.881753
DEBUG: 22.308061 ; likelihood: 64.589959
DEBUG: 1.444443 ; likelihood: 65.541746
DEBUG: 4.894015 ; likelihood: 65.643505
DEBUG: 2.522165 ; likelihood: 65.545162
DEBUG: 2.811841 ; likelihood: 64.359904
DEBUG: 13.574962 ; likelihood: 65.713112
DEBUG: 36.955943 ; likelihood: 69.495060
DEBUG: 6.236024 ; likelihood: 71.574252
DEBUG: 1.406965 ; likelihood: 70.804336
DEBUG: 3.197768 ; likelihood: 71.634986
DEBUG: 37.265593 ; likelihood: 73.978186
DEBUG: 2.918479 ; likelihood: 71.908532
DEBUG: 4.974704 ; likelihood: 72.139506
DEBUG: 26.713743 ; likelihood: 76.199996
DEBUG: 3.900231 ; likelihood: 77.133360
DEBUG: 1.366436 ; likelihood: 76.943416
DEBUG: 20.745167 ; likelihood: 79.361703
DEBUG: 2.033353 ; likelihood: 79.780622
DEBUG: 5.806787 ; likelihood: 81.536773
DEBUG: 10.567082 ; likelihood: 85.553733
DEBUG: 7.940497 ; likelihood: 87.879751
DEBUG: 1.667522 ; likelihood: 88.666175
DEBUG: 3.262205 ; likelihood: 90.638017
DEBUG: 3.634789 ; likelihood: 91.919682
DEBUG: 1.116143 ; likelihood: 92.735232
DEBUG: 0.910764 ; likelihood: 90.947723
DEBUG: 0.711073 ; likelihood: 90.315479
DEBUG: 1.414732 ; likelihood: 90.781205
DEBUG: 8.312963 ; likelihood: 91.391210
DEBUG: 4.944729 ; likelihood: 91.639450
DEBUG: 6.786292 ; likelihood: 93.926127
DEBUG: 6.875968 ; likelihood: 95.892421
DEBUG: 3.239289 ; likelihood: 2.430352
DEBUG: 3.031210 ; likelihood: 4.027111
DEBUG: 14.690956 ; likelihood: -0.058479
DEBUG: 25.615347 ; likelihood: 2.288774
DEBUG: 20.674776 ; likelihood: 2.154730
DEBUG: 1.110902 ; likelihood: 0.408627
DEBUG: 42.704521 ; likelihood: 3.858675
DEBUG: 23.785868 ; likelihood: 4.785061
DEBUG: 7.896265 ; likelihood: 7.754269
DEBUG: 5.000179 ; likelihood: 9.001998
DEBUG: 9.310913 ; likelihood: 10.804937
DEBUG: 3.121005 ; likelihood: 10.395073
DEBUG: 18.085191 ; likelihood: 13.585386
DEBUG: 8.705319 ; likelihood: 14.925019
DEBUG: 11.226071 ; likelihood: 15.117076
DEBUG: 0.019452 ; likelihood: 11.329712
DEBUG: 1.200599 ; likelihood: 9.857572
DEBUG: 10.819994 ; likelihood: 12.351577
DEBUG: 3.076875 ; likelihood: 12.405632
DEBUG: 0.138508 ; likelihood: 11.266112
DEBUG: 6.445117 ; likelihood: 10.588438
DEBUG: 0.754109 ; likelihood: 9.117877
DEBUG: 14.548807 ; likelihood: 12.335522
DEBUG: 7.219129 ; likelihood: 15.786941
DEBUG: 21.251529 ; likelihood: 18.843070
DEBUG: 10.732037 ; likelihood: 19.579700
DEBUG: 1.877620 ; likelihood: 20.302931
DEBUG: 7.346238 ; likelihood: 22.736855
DEBUG: 8.310450 ; likelihood: 25.294496
DEBUG: 2.471659 ; likelihood: 27.077992
DEBUG: 35.383260 ; likelihood: 28.786615
DEBUG: 14.565024 ; likelihood: 32.658549
DEBUG: 6.127909 ; likelihood: 32.107299
DEBUG: 16.176423 ; likelihood: 34.505594
DEBUG: 7.645261 ; likelihood: 36.575043
DEBUG: 8.013743 ; likelihood: 38.875087
DEBUG: 20.399314 ; likelihood: 41.346643
DEBUG: 58.740683 ; likelihood: 44.460980
DEBUG: 4.826451 ; likelihood: 45.149721
DEBUG: 5.833831 ; likelihood: 48.621880
DEBUG: 56.083052 ; likelihood: 53.108434
DEBUG: 3.033764 ; likelihood: 51.745357
DEBUG: 9.883421 ; likelihood: 53.786963
DEBUG: 32.505307 ; likelihood: 57.968508
DEBUG: 6.393964 ; likelihood: 55.438755
DEBUG: 23.952096 ; likelihood: 57.224222
DEBUG: 2.727450 ; likelihood: 57.470737
DEBUG: 3.238786 ; likelihood: 58.207294
DEBUG: 9.974802 ; likelihood: 61.046348
DEBUG: 55.431895 ; likelihood: 65.682186
DEBUG: 9.999436 ; likelihood: 67.188700
DEBUG: 12.990521 ; likelihood: 68.171595
DEBUG: 26.004439 ; likelihood: 71.151592
DEBUG: 11.219749 ; likelihood: 70.854216
DEBUG: 32.492769 ; likelihood: 74.842894
DEBUG: 0.990002 ; likelihood: 75.435426
DEBUG: 14.843849 ; likelihood: 76.805606
DEBUG: 40.365679 ; likelihood: 77.819973
DEBUG: 23.789560 ; likelihood: 81.431520
DEBUG: 43.109934 ; likelihood: 82.985393
DEBUG: 25.844427 ; likelihood: 86.448379
DEBUG: 6.265595 ; likelihood: 89.439684
DEBUG: 1.394855 ; likelihood: 89.428049
DEBUG: 9.087295 ; likelihood: 91.403705
DEBUG: 6.344162 ; likelihood: 92.587433
DEBUG: 7.957190 ; likelihood: 95.114623
DEBUG: 23.184374 ; likelihood: 99.345086
DEBUG: 61.411142 ; likelihood: 103.290180
DEBUG: 10.435433 ; likelihood: 105.219138
DEBUG: 16.024145 ; likelihood: 107.145528
DEBUG: 5.542963 ; likelihood: 109.024546
DEBUG: 3.319579 ; likelihood: 111.049449
DEBUG: 41.618829 ; likelihood: 112.603896
DEBUG: 53.119185 ; likelihood: 116.762685
DEBUG: 36.266851 ; likelihood: 121.172754
DEBUG: 26.060821 ; likelihood: 124.613362
DEBUG: 14.874074 ; likelihood: 125.328375
DEBUG: 17.074461 ; likelihood: 128.321786
DEBUG: 16.158376 ; likelihood: 128.742801
DEBUG: 4.323388 ; likelihood: 131.405380
DEBUG: 10.839114 ; likelihood: 133.780341
DEBUG: 22.567644 ; likelihood: 135.687237
DEBUG: 13.774385 ; likelihood: 138.593290
DEBUG: 28.035095 ; likelihood: 139.091015
DEBUG: 3.925398 ; likelihood: 139.974012
DEBUG: 8.310982 ; likelihood: 141.755994
DEBUG: 2.654131 ; likelihood: 142.625459
DEBUG: 8.398700 ; likelihood: 142.255847
DEBUG: 19.269008 ; likelihood: 144.451298
DEBUG: 24.145812 ; likelihood: 147.539814
DEBUG: 5.012908 ; likelihood: 149.018857
DEBUG: 5.588467 ; likelihood: 151.471021
DEBUG: 19.884210 ; likelihood: 155.567524
DEBUG: 13.270795 ; likelihood: 157.303206
DEBUG: 0.675376 ; likelihood: 157.389762
DEBUG: 5.966601 ; likelihood: 158.905570
DEBUG: 8.988797 ; likelihood: 158.445432
DEBUG: 25.077584 ; likelihood: 156.801884
DEBUG: 25.940297 ; likelihood: 160.020923
DEBUG: 1.068614 ; likelihood: 156.204970
DEBUG: 2.123881 ; likelihood: 0.299219
DEBUG: 19.675734 ; likelihood: 1.944197
DEBUG: 1.691837 ; likelihood: 3.503492
DEBUG: 9.656482 ; likelihood: 6.137013
DEBUG: 9.732309 ; likelihood: 6.047658
DEBUG: 11.612742 ; likelihood: 8.362231
DEBUG: 29.037075 ; likelihood: 11.794504
DEBUG: 15.838262 ; likelihood: 13.834924
DEBUG: 24.254692 ; likelihood: 13.149134
DEBUG: 34.263206 ; likelihood: 16.727206
DEBUG: 44.769084 ; likelihood: 17.430714
DEBUG: 5.220788 ; likelihood: 17.845256
DEBUG: 3.083851 ; likelihood: 20.263871
DEBUG: 7.798901 ; likelihood: 23.218180
DEBUG: 23.311218 ; likelihood: 25.429616
DEBUG: 70.995996 ; likelihood: 29.797866
DEBUG: 41.053693 ; likelihood: 33.046956
DEBUG: 60.441654 ; likelihood: 37.814523
DEBUG: 13.529485 ; likelihood: 38.989692
DEBUG: 25.179872 ; likelihood: 42.452837
DEBUG: 9.360251 ; likelihood: 46.068902
DEBUG: 9.270733 ; likelihood: 49.607669
DEBUG: 26.302275 ; likelihood: 53.223301
DEBUG: 11.607810 ; likelihood: 54.399372
DEBUG: 39.004512 ; likelihood: 55.736322
DEBUG: 57.800843 ; likelihood: 59.702624
DEBUG: 3.831297 ; likelihood: 58.480909
DEBUG: 49.361663 ; likelihood: 61.129932
DEBUG: 1.273132 ; likelihood: 59.220376
DEBUG: 4.642987 ; likelihood: 60.777762
DEBUG: 14.778378 ; likelihood: 61.206504
DEBUG: 9.680874 ; likelihood: 62.124883
DEBUG: 21.611350 ; likelihood: 63.771830
DEBUG: 2.312920 ; likelihood: 65.872831
DEBUG: 14.438233 ; likelihood: 68.744645
DEBUG: 30.363130 ; likelihood: 72.424531
DEBUG: 30.176983 ; likelihood: 77.347456
DEBUG: 31.673674 ; likelihood: 79.864556
DEBUG: 35.611525 ; likelihood: 80.736823
DEBUG: 21.768700 ; likelihood: 83.517577
DEBUG: 4.466237 ; likelihood: 84.528150
DEBUG: 3.384708 ; likelihood: 84.696778
DEBUG: 19.803265 ; likelihood: 88.963370
DEBUG: 20.408272 ; likelihood: 91.840698
DEBUG: 2.236692 ; likelihood: 92.853185
DEBUG: 6.504077 ; likelihood: 94.406049
DEBUG: 42.670556 ; likelihood: 97.885974
DEBUG: 35.432792 ; likelihood: 100.686226
DEBUG: 35.613904 ; likelihood: 104.829676
DEBUG: 10.879598 ; likelihood: 105.552926
DEBUG: 19.915613 ; likelihood: 105.102599
DEBUG: 60.221404 ; likelihood: 107.821176
DEBUG: 0.550395 ; likelihood: 107.153439
DEBUG: 20.530258 ; likelihood: 110.551853
DEBUG: 28.886953 ; likelihood: 111.801567
DEBUG: 8.914013 ; likelihood: 114.558317
DEBUG: 22.115835 ; likelihood: 117.023786
DEBUG: 3.445280 ; likelihood: 116.078428
DEBUG: 12.640754 ; likelihood: 118.714171
DEBUG: 30.248890 ; likelihood: 121.662836
DEBUG: 12.262043 ; likelihood: 125.045549
DEBUG: 107.752487 ; likelihood: 128.125530
DEBUG: 15.157390 ; likelihood: 131.109582
DEBUG: 20.986111 ; likelihood: 132.585911
DEBUG: 21.218235 ; likelihood: 136.459406
DEBUG: 11.626084 ; likelihood: 136.593286
DEBUG: 68.312960 ; likelihood: 139.627840
DEBUG: 9.872464 ; likelihood: 143.007385
DEBUG: 52.709976 ; likelihood: 147.657446
DEBUG: 32.696474 ; likelihood: 150.890955
DEBUG: 97.209062 ; likelihood: 150.432522
DEBUG: 11.952317 ; likelihood: 152.687039
DEBUG: 14.110973 ; likelihood: 154.947297
DEBUG: 27.729307 ; likelihood: 158.759594
DEBUG: 4.573396 ; likelihood: 159.416426
DEBUG: 8.256105 ; likelihood: 161.268099
DEBUG: 7.594795 ; likelihood: 162.079452
DEBUG: 33.118683 ; likelihood: 165.753011
DEBUG: 109.255633 ; likelihood: 169.311334
DEBUG: 55.920360 ; likelihood: 173.091528
DEBUG: 4.877998 ; likelihood: 173.405484
DEBUG: 26.317554 ; likelihood: 174.416184
DEBUG: 18.375132 ; likelihood: 178.445725
DEBUG: 1.278224 ; likelihood: 177.938395
DEBUG: 43.921749 ; likelihood: 182.088212
DEBUG: 64.138900 ; likelihood: 186.700336
DEBUG: 38.231113 ; likelihood: 189.248270
DEBUG: 10.850217 ; likelihood: 190.073134
DEBUG: 38.999627 ; likelihood: 195.533669
DEBUG: 133.341244 ; likelihood: 201.452913
DEBUG: 10.859112 ; likelihood: 202.666019
DEBUG: 16.804511 ; likelihood: 205.387139
DEBUG: 19.221501 ; likelihood: 206.825939
DEBUG: 8.925452 ; likelihood: 208.671287
DEBUG: 16.575971 ; likelihood: 209.828692
DEBUG: 1.367041 ; likelihood: 210.170776
DEBUG: 14.119145 ; likelihood: 212.971390
DEBUG: 35.199069 ; likelihood: 217.491472
DEBUG: 26.634184 ; likelihood: 221.219075
DEBUG: 9.341225 ; likelihood: 222.960244
DEBUG: 29.048736 ; likelihood: 1.963092
DEBUG: 10.295875 ; likelihood: 3.359538
DEBUG: 25.042468 ; likelihood: 6.466454
DEBUG: 25.969274 ; likelihood: 8.604923
DEBUG: 31.890757 ; likelihood: 11.724757
DEBUG: 8.815841 ; likelihood: 14.877590
DEBUG: 53.607247 ; likelihood: 19.027629
DEBUG: 26.763963 ; likelihood: 21.274254
DEBUG: 79.609353 ; likelihood: 26.176720
DEBUG: 58.908161 ; likelihood: 29.454349
DEBUG: 166.782343 ; likelihood: 35.235845
DEBUG: 0.193459 ; likelihood: 32.952653
DEBUG: 28.328401 ; likelihood: 36.615795
DEBUG: 14.729602 ; likelihood: 37.727364
DEBUG: 27.736589 ; likelihood: 41.066411
DEBUG: 37.087341 ; likelihood: 42.337727
DEBUG: 69.580346 ; likelihood: 47.381777
DEBUG: 19.360889 ; likelihood: 49.528065
DEBUG: 23.710077 ; likelihood: 53.674867
DEBUG: 36.332970 ; likelihood: 54.655552
DEBUG: 20.781851 ; likelihood: 58.341474
DEBUG: 0.015387 ; likelihood: 52.741532
DEBUG: 28.479968 ; likelihood: 55.796453
DEBUG: 25.749131 ; likelihood: 58.492697
DEBUG: 14.996762 ; likelihood: 60.235837
DEBUG: 57.903142 ; likelihood: 63.384290
DEBUG: 6.865355 ; likelihood: 65.803759
DEBUG: 48.575992 ; likelihood: 69.925072
DEBUG: 28.952528 ; likelihood: 70.766315
DEBUG: 84.772763 ; likelihood: 72.850568
DEBUG: 45.157686 ; likelihood: 76.432177
DEBUG: 7.230843 ; likelihood: 78.242611
DEBUG: 20.923598 ; likelihood: 81.191716
DEBUG: 94.490263 ; likelihood: 86.686126
DEBUG: 27.073026 ; likelihood: 89.797340
DEBUG: 187.888235 ; likelihood: 96.267650
DEBUG: 19.396167 ; likelihood: 100.901745
DEBUG: 7.201431 ; likelihood: 104.076057
DEBUG: 26.422746 ; likelihood: 107.515830
DEBUG: 18.464757 ; likelihood: 111.112516
DEBUG: 0.347791 ; likelihood: 108.565675
DEBUG: 7.693858 ; likelihood: 109.009605
DEBUG: 0.257417 ; likelihood: 108.649806
DEBUG: 83.638711 ; likelihood: 112.879202
DEBUG: 0.379633 ; likelihood: 112.410245
DEBUG: 37.810390 ; likelihood: 116.299912
DEBUG: 15.843616 ; likelihood: 119.643593
DEBUG: 12.634059 ; likelihood: 122.647815
DEBUG: 20.283330 ; likelihood: 124.285345
DEBUG: 45.944174 ; likelihood: 129.281742
DEBUG: 55.708986 ; likelihood: 133.531674
DEBUG: 94.535315 ; likelihood: 136.605026
DEBUG: 44.633981 ; likelihood: 138.246957
DEBUG: 6.625066 ; likelihood: 138.802211
DEBUG: 58.246809 ; likelihood: 142.696672
DEBUG: 3.493413 ; likelihood: 144.459998
DEBUG: 53.083325 ; likelihood: 147.340302
DEBUG: 190.801391 ; likelihood: 153.002102
DEBUG: 8.874950 ; likelihood: 156.007753
DEBUG: 14.869330 ; likelihood: 157.361119
DEBUG: 43.890883 ; likelihood: 162.652104
DEBUG: 111.349273 ; likelihood: 164.602330
DEBUG: 62.034100 ; likelihood: 167.488701
DEBUG: 70.349525 ; likelihood: 170.509453
DEBUG: 23.169859 ; likelihood: 173.509735
DEBUG: 8.607651 ; likelihood: 174.473134
DEBUG: 12.608394 ; likelihood: 175.120956
DEBUG: 22.620453 ; likelihood: 173.227393
DEBUG: 10.343668 ; likelihood: 175.571841
DEBUG: 9.770405 ; likelihood: 174.920315
DEBUG: 8.245250 ; likelihood: 176.116551
DEBUG: 71.644457 ; likelihood: 181.708186
DEBUG: 34.386296 ; likelihood: 185.916902
DEBUG: 50.569288 ; likelihood: 190.426650
DEBUG: 50.720807 ; likelihood: 192.032134
DEBUG: 2.358212 ; likelihood: 192.408256
DEBUG: 3.103424 ; likelihood: 189.545730
DEBUG: 26.546787 ; likelihood: 193.678344
DEBUG: 11.280632 ; likelihood: 195.365307
DEBUG: 6.156383 ; likelihood: 197.492647
DEBUG: 116.146455 ; likelihood: 201.475989
DEBUG: 0.239415 ; likelihood: 198.828691
DEBUG: 25.717331 ; likelihood: 201.631879
DEBUG: 10.964071 ; likelihood: 204.384441
DEBUG: 4.133717 ; likelihood: 205.439005
DEBUG: 60.249270 ; likelihood: 208.559549
DEBUG: 63.964904 ; likelihood: 212.838326
DEBUG: 12.306219 ; likelihood: 214.824019
DEBUG: 27.534334 ; likelihood: 215.053744
DEBUG: 11.865441 ; likelihood: 216.459414
DEBUG: 5.348834 ; likelihood: 217.274325
DEBUG: 50.099380 ; likelihood: 219.800318
DEBUG: 16.203937 ; likelihood: 221.445333
DEBUG: 4.816268 ; likelihood: 223.016870
DEBUG: 38.195316 ; likelihood: 225.557596
DEBUG: 16.967897 ; likelihood: 228.341441
DEBUG: 38.049807 ; likelihood: 231.251523
DEBUG: 73.597791 ; likelihood: 233.828332
DEBUG: 69.757368 ; likelihood: 236.131026
DEBUG: 92.901162 ; likelihood: 241.870668
DEBUG: 46.218648 ; likelihood: 4.123316
DEBUG: 14.986072 ; likelihood: 6.362228
DEBUG: 24.521754 ; likelihood: 9.386756
DEBUG: 111.724288 ; likelihood: 15.189745
DEBUG: 43.592367 ; likelihood: 17.425337
DEBUG: 12.570418 ; likelihood: 20.285930
DEBUG: 35.442689 ; likelihood: 25.403363
DEBUG: 163.937598 ; likelihood: 31.338121
DEBUG: 14.127091 ; likelihood: 31.704897
DEBUG: 34.916147 ; likelihood: 36.178920
DEBUG: 21.951016 ; likelihood: 40.138935
DEBUG: 35.045889 ; likelihood: 40.288938
DEBUG: 15.810399 ; likelihood: 42.392027
DEBUG: 10.041805 ; likelihood: 42.862390
DEBUG: 35.477803 ; likelihood: 44.380901
DEBUG: 5.466581 ; likelihood: 44.413092
DEBUG: 89.681955 ; likelihood: 48.206140
DEBUG: 46.629633 ; likelihood: 50.898589
DEBUG: 146.192824 ; likelihood: 55.657246
DEBUG: 11.412465 ; likelihood: 57.925557
DEBUG: 62.371905 ; likelihood: 61.572126
DEBUG: 17.864072 ; likelihood: 63.342530
DEBUG: 27.491110 ; likelihood: 65.600640
DEBUG: 9.146655 ; likelihood: 68.040989
DEBUG: 22.787565 ; likelihood: 71.388167
DEBUG: 46.159571 ; likelihood: 75.607463
DEBUG: 44.594230 ; likelihood: 77.707302
DEBUG: 74.734413 ; likelihood: 82.910076
DEBUG: 38.962387 ; likelihood: 88.637214
DEBUG: 2.819131 ; likelihood: 87.519987
DEBUG: 5.893937 ; likelihood: 87.624322
DEBUG: 15.206314 ; likelihood: 91.689159
DEBUG: 37.945464 ; likelihood: 96.247900
DEBUG: 13.206095 ; likelihood: 98.520824
DEBUG: 29.067507 ; likelihood: 101.435146
DEBUG: 4.420889 ; likelihood: 101.483769
DEBUG: 121.485178 ; likelihood: 105.656380
DEBUG: 31.085465 ; likelihood: 108.352020
DEBUG: 56.516008 ; likelihood: 112.495307
DEBUG: 4.534664 ; likelihood: 111.741933
DEBUG: 22.322724 ; likelihood: 115.110609
DEBUG: 93.524246 ; likelihood: 114.507004
DEBUG: 103.585009 ; likelihood: 119.257855
DEBUG: 114.931995 ; likelihood: 123.538009
DEBUG: 51.269049 ; likelihood: 128.808536
DEBUG: 39.459063 ; likelihood: 132.937047
DEBUG: 7.422637 ; likelihood: 135.610342
DEBUG: 67.734349 ; likelihood: 140.042748
DEBUG: 68.997669 ; likelihood: 140.411680
DEBUG: 12.116562 ; likelihood: 141.641387
DEBUG: 30.980798 ; likelihood: 144.135195
DEBUG: 28.088818 ; likelihood: 146.860899
DEBUG: 61.427374 ; likelihood: 152.068564
DEBUG: 73.597495 ; likelihood: 155.837293
DEBUG: 44.578886 ; likelihood: 160.436142
DEBUG: 36.041122 ; likelihood: 158.856969
DEBUG: 44.476333 ; likelihood: 162.021813
DEBUG: 0.533095 ; likelihood: 161.069587
DEBUG: 4.110073 ; likelihood: 163.458544
DEBUG: 184.124059 ; likelihood: 169.023533
DEBUG: 109.162128 ; likelihood: 173.513764
DEBUG: 36.747623 ; likelihood: 174.267307
DEBUG: 24.721337 ; likelihood: 176.527841
DEBUG: 67.022387 ; likelihood: 179.194489
DEBUG: 19.250449 ; likelihood: 184.110689
DEBUG: 26.577925 ; likelihood: 187.971655
DEBUG: 17.902620 ; likelihood: 191.675535
DEBUG: 13.339942 ; likelihood: 191.482562
DEBUG: 85.786839 ; likelihood: 192.971523
DEBUG: 32.303673 ; likelihood: 195.981404
DEBUG: 131.429548 ; likelihood: 197.856754
DEBUG: 29.351058 ; likelihood: 201.046628
DEBUG: 28.427906 ; likelihood: 203.979661
DEBUG: 3.728927 ; likelihood: 205.062018
DEBUG: 24.487750 ; likelihood: 205.473136
DEBUG: 16.700911 ; likelihood: 207.336196
DEBUG: 44.201584 ; likelihood: 211.783777
DEBUG: 21.692960 ; likelihood: 211.492622
DEBUG: 8.935381 ; likelihood: 211.819000
DEBUG: 11.838667 ; likelihood: 213.978047
DEBUG: 7.083229 ; likelihood: 216.028775
DEBUG: 19.907966 ; likelihood: 218.552147
DEBUG: 38.018510 ; likelihood: 222.112401
DEBUG: 34.252344 ; likelihood: 225.000841
DEBUG: 48.756508 ; likelihood: 225.406512
DEBUG: 95.362850 ; likelihood: 229.867516
DEBUG: 3.768068 ; likelihood: 230.339303
DEBUG: 7.981039 ; likelihood: 232.163525
DEBUG: 81.437862 ; likelihood: 235.257637
DEBUG: 4.176979 ; likelihood: 235.409004
DEBUG: 16.201520 ; likelihood: 237.494753
DEBUG: 38.064485 ; likelihood: 242.035891
DEBUG: 13.025077 ; likelihood: 245.634121
DEBUG: 136.567775 ; likelihood: 249.954545
DEBUG: 3.989976 ; likelihood: 249.695628
DEBUG: 131.197025 ; likelihood: 253.210486
DEBUG: 84.845633 ; likelihood: 256.596216
DEBUG: 54.044280 ; likelihood: 259.930372
DEBUG: 104.694999 ; likelihood: 263.173005
DEBUG: 77.073496 ; likelihood: 267.296675
DEBUG: 15.888147 ; likelihood: 2.916857
DEBUG: 8.961679 ; likelihood: 4.179567
DEBUG: 1.937108 ; likelihood: 3.839360
DEBUG: 112.436459 ; likelihood: 9.252666
DEBUG: 44.030577 ; likelihood: 14.154242
DEBUG: 6.341680 ; likelihood: 16.613659
DEBUG: 23.624827 ; likelihood: 19.880138
DEBUG: 79.107151 ; likelihood: 24.139644
DEBUG: 52.658220 ; likelihood: 28.304687
DEBUG: 0.832264 ; likelihood: 28.287423
DEBUG: 119.329971 ; likelihood: 34.217140
DEBUG: 140.624307 ; likelihood: 39.414959
DEBUG: 16.185174 ; likelihood: 42.140313
DEBUG: 7.703688 ; likelihood: 42.355957
DEBUG: 98.299291 ; likelihood: 47.988749
DEBUG: 67.385731 ; likelihood: 49.643203
DEBUG: 55.516235 ; likelihood: 54.293817
DEBUG: 28.637280 ; likelihood: 57.733447
DEBUG: 9.462979 ; likelihood: 58.809920
DEBUG: 41.929163 ; likelihood: 62.732699
DEBUG: 13.862799 ; likelihood: 65.368513
DEBUG: 43.727896 ; likelihood: 68.960120
DEBUG: 20.349248 ; likelihood: 70.938917
DEBUG: 9.434866 ; likelihood: 74.084542
DEBUG: 0.268938 ; likelihood: 71.090756
DEBUG: 52.364594 ; likelihood: 75.825696
DEBUG: 7.608870 ; likelihood: 77.565066
DEBUG: 52.679190 ; likelihood: 80.785741
DEBUG: 8.265996 ; likelihood: 83.191966
DEBUG: 41.898875 ; likelihood: 88.135248
DEBUG: 63.812561 ; likelihood: 90.935805
DEBUG: 2.253839 ; likelihood: 90.755780
DEBUG: 4.389352 ; likelihood: 91.690290
DEBUG: 202.059863 ; likelihood: 95.662349
DEBUG: 68.626358 ; likelihood: 99.525607
DEBUG: 149.982661 ; likelihood: 105.494162
DEBUG: 8.108926 ; likelihood: 107.144181
DEBUG: 37.686228 ; likelihood: 110.227991
DEBUG: 82.957583 ; likelihood: 114.682254
DEBUG: 24.501066 ; likelihood: 118.289229
DEBUG: 94.490856 ; likelihood: 124.026197
DEBUG: 61.035536 ; likelihood: 129.186809
DEBUG: 37.591406 ; likelihood: 131.675320
DEBUG: 21.644791 ; likelihood: 134.735175
DEBUG: 0.719034 ; likelihood: 135.038536
DEBUG: 50.077459 ; likelihood: 139.118812
DEBUG: 4.376696 ; likelihood: 140.591862
DEBUG: 0.158302 ; likelihood: 136.936777
DEBUG: 4.122993 ; likelihood: 139.667694
DEBUG: 26.905021 ; likelihood: 143.368197
DEBUG: 36.176639 ; likelihood: 145.978001
DEBUG: 68.106082 ; likelihood: 150.141980
DEBUG: 86.548089 ; likelihood: 153.069484
DEBUG: 2.927698 ; likelihood: 153.946796
DEBUG: 102.341074 ; likelihood: 157.921659
DEBUG: 23.070907 ; likelihood: 161.121843
DEBUG: 25.677966 ; likelihood: 158.177499
DEBUG: 50.875737 ; likelihood: 162.773383
DEBUG: 18.081418 ; likelihood: 166.585298
